year,source,mean_sentiment,std_sentiment,median_sentiment,count
2015.0,academic,0.6234,0.1787,0.6168,977
2016.0,academic,0.6059,0.1826,0.5802,1050
2017.0,academic,0.6028,0.1741,0.574,1163
2018.0,academic,0.5898,0.1784,0.5496,1177
2019.0,academic,0.5839,0.1725,0.5418,1345
2020.0,academic,0.5777,0.1699,0.5402,1506
2021.0,academic,0.5494,0.1588,0.5158,1270
2022.0,academic,0.5323,0.1575,0.4959,1028
2023.0,academic,0.5126,0.1418,0.4962,975
2024.0,academic,0.5001,0.1303,0.4898,749
2025.0,academic,0.4978,0.1082,0.4999,430
2026.0,academic,0.4996,0.0878,0.4987,71
