word,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,community,degree,weighted_degree
social,1.0,0.0,1.0,0.290608,1,99,33272
global,1.0,0.0,1.0,0.171875,0,99,20714
sector,1.0,0.0,1.0,0.096497,1,99,10110
local,1.0,0.0,1.0,0.086732,0,99,9165
crisis,1.0,0.112046,1.0,0.067184,1,99,6901
circular,0.989899,0.00213,0.99,0.102196,1,98,11250
article,0.848485,0.100841,0.868421,0.061926,0,84,7063
climate,0.838384,0.021674,0.86087,0.09383,0,83,11368
energy,0.818182,0.044101,0.846154,0.087399,0,81,11060
development,0.808081,0.08198,0.838983,0.151782,0,80,18250
change,0.787879,0.057145,0.825,0.10026,0,78,12091
environmental,0.787879,0.049897,0.825,0.123142,0,78,13501
new,0.757576,0.018577,0.804878,0.101362,0,75,12326
data,0.757576,0.071917,0.804878,0.127944,0,75,16184
desarrollo,0.747475,0.038356,0.798387,0.222198,1,74,23280
economy,0.707071,0.052672,0.773438,0.064744,0,70,7612
cambio,0.686869,0.07042,0.761538,0.147542,1,68,15454
paper,0.686869,0.010493,0.761538,0.087797,0,68,10580
economía,0.676768,0.023593,0.755725,0.1713,1,67,17063
política,0.676768,0.078025,0.755725,0.116222,1,67,11599
research,0.666667,0.003661,0.75,0.165501,0,66,20858
análisis,0.666667,0.01733,0.75,0.170641,1,66,17789
sustainable,0.666667,0.034784,0.75,0.114658,0,66,12792
méxico,0.666667,0.089672,0.75,0.063439,1,66,6436
ambiental,0.666667,0.003917,0.75,0.127139,1,66,12820
learning,0.656566,0.057134,0.744361,0.050148,0,65,5860
analysis,0.646465,0.032876,0.738806,0.098608,0,64,11946
resultados,0.646465,0.03008,0.738806,0.138748,1,64,14302
public,0.646465,0.025793,0.738806,0.056428,0,64,6424
management,0.646465,0.008572,0.738806,0.072623,0,64,8902
study,0.636364,0.004793,0.733333,0.120646,0,63,14722
climático,0.626263,0.032523,0.727941,0.116518,1,62,11528
trabajo,0.626263,0.001237,0.727941,0.128718,1,62,13042
artículo,0.626263,0.010039,0.727941,0.138028,1,62,13956
mayor,0.626263,0.046362,0.727941,0.062902,1,62,6433
investigación,0.616162,0.024375,0.722628,0.158032,1,61,16020
sustainability,0.616162,0.011053,0.722628,0.068515,0,61,7559
partir,0.616162,0.04408,0.722628,0.09154,1,61,9125
future,0.616162,0.01412,0.722628,0.075092,0,61,8985
sistema,0.606061,0.000481,0.717391,0.070162,1,60,7171
economic,0.606061,0.00169,0.717391,0.085676,0,60,9449
uso,0.606061,0.021133,0.717391,0.077454,1,60,8068
sociales,0.606061,0.00134,0.717391,0.097508,1,60,9412
modelo,0.606061,0.01356,0.717391,0.094662,1,60,9365
based,0.606061,0.016371,0.717391,0.124046,0,60,15538
current,0.59596,0.004164,0.71223,0.05598,0,59,6940
sostenible,0.59596,0.008807,0.71223,0.097772,1,59,8943
policy,0.59596,0.006081,0.71223,0.072312,0,59,8731
objetivo,0.59596,0.017622,0.71223,0.134029,1,59,13473
model,0.585859,0.002336,0.707143,0.070967,0,58,8733
estudio,0.585859,0.000722,0.707143,0.141614,1,58,14478
use,0.585859,0.001288,0.707143,0.104822,0,58,13198
studies,0.585859,0.035958,0.707143,0.064826,0,58,7829
gestión,0.585859,0.023504,0.707143,0.08654,1,58,8602
system,0.585859,0.006528,0.707143,0.054822,0,58,6902
través,0.575758,0.018532,0.702128,0.089871,1,57,8937
producción,0.575758,0.023844,0.702128,0.086452,1,57,8952
dos,0.575758,0.022029,0.702128,0.064024,1,57,6494
different,0.575758,0.007473,0.702128,0.078369,0,57,9612
transición,0.565657,0.018347,0.697183,0.119572,1,56,12864
human,0.565657,0.000893,0.697183,0.055803,0,56,6596
systems,0.565657,0.003401,0.697183,0.066117,0,56,8162
educación,0.565657,0.0,0.697183,0.079018,1,56,7642
políticas,0.565657,0.000412,0.697183,0.112515,1,56,11248
well,0.565657,0.0,0.697183,0.079325,0,56,9709
review,0.565657,0.009833,0.697183,0.069471,0,56,8512
water,0.565657,0.031437,0.697183,0.055168,0,56,6981
energética,0.565657,0.000584,0.697183,0.078616,1,56,8143
estado,0.565657,0.016155,0.697183,0.071146,1,56,7225
production,0.565657,0.007009,0.697183,0.05494,0,56,6695
approach,0.565657,0.000412,0.697183,0.062505,0,56,7523
health,0.555556,0.0,0.692308,0.103588,0,55,12375
used,0.555556,0.0,0.692308,0.075407,0,55,9414
results,0.555556,0.0,0.692308,0.088459,0,55,10783
nivel,0.555556,0.0,0.692308,0.070886,1,55,7111
risk,0.555556,0.009551,0.692308,0.053955,0,55,6749
years,0.555556,0.038033,0.692308,0.059364,0,55,7425
two,0.555556,0.001649,0.692308,0.055023,0,55,6743
challenges,0.555556,0.0,0.692308,0.06139,0,55,7387
high,0.545455,0.0,0.6875,0.075884,0,54,9892
using,0.545455,0.0,0.6875,0.078411,0,54,9843
presente,0.545455,0.000512,0.6875,0.08927,1,54,8757
hacia,0.545455,0.013372,0.6875,0.082525,1,54,8321
countries,0.545455,0.0,0.6875,0.072896,0,54,8701
enfoque,0.545455,0.001735,0.6875,0.083395,1,54,8124
potential,0.545455,0.0,0.6875,0.05976,0,54,7416
literature,0.545455,0.0,0.6875,0.060579,0,54,7203
methods,0.545455,0.004638,0.6875,0.057254,0,54,7059
mediante,0.545455,0.00984,0.6875,0.076193,1,54,7605
including,0.545455,0.0,0.6875,0.062119,0,54,7752
contexto,0.535354,0.0,0.682759,0.078278,1,53,7760
proceso,0.535354,0.002337,0.682759,0.082887,1,53,8439
información,0.535354,0.007778,0.682759,0.068837,1,53,6951
recursos,0.535354,0.003655,0.682759,0.073988,1,53,7567
relación,0.535354,0.0,0.682759,0.070825,1,53,6987
principales,0.535354,0.0,0.682759,0.069642,1,53,6971
marco,0.535354,0.000512,0.682759,0.068996,1,53,6732
estrategias,0.535354,0.004506,0.682759,0.065149,1,53,6529
medio,0.535354,0.004336,0.682759,0.063666,1,53,6321
procesos,0.525253,0.0,0.678082,0.081247,1,52,8064
