source,target,weight
change,climate,2311
change,global,349
change,international,135
change,action,325
change,including,84
change,role,88
change,help,140
change,agreement,120
change,deliver,121
change,commitments,49
change,nature,216
change,development,104
change,long,97
change,support,123
change,paris,117
change,back,94
change,made,102
change,next,102
change,carbon,202
change,supply,58
change,power,86
change,economic,140
change,together,155
change,making,83
change,businesses,100
change,private,57
change,investment,96
change,clean,64
change,energy,183
change,cost,56
change,net,173
change,zero,200
change,future,207
change,transition,81
change,solutions,97
change,put,90
change,industry,66
change,work,223
change,environmental,122
change,cop,247
change,working,117
change,set,75
change,natural,86
change,million,89
change,scale,72
change,better,163
change,governments,72
change,across,121
change,around,193
change,lot,85
change,green,132
change,finance,137
change,financial,75
change,last,167
change,end,72
change,based,74
change,communities,138
change,billion,99
change,different,62
change,let,92
change,start,84
change,point,93
change,risk,148
change,water,164
change,emissions,267
change,progress,88
change,economy,148
change,adaptation,130
change,mean,86
change,means,103
change,infrastructure,106
change,public,86
change,sector,88
change,market,47
change,every,122
change,part,128
change,companies,111
change,flood,99
change,reduce,102
change,crisis,106
change,resilience,120
change,example,101
change,good,123
change,growth,82
change,environment,233
change,agency,93
change,opportunity,81
change,health,156
change,policy,74
change,forward,73
change,course,110
change,sustainable,99
change,right,201
change,build,95
change,technology,58
change,great,72
change,question,61
change,business,120
change,big,77
climate,global,781
climate,international,354
climate,action,910
climate,including,206
climate,role,189
climate,help,324
climate,working,259
climate,paris,270
climate,agreement,252
climate,deliver,243
climate,commitments,219
climate,nature,485
climate,development,288
climate,long,183
climate,support,288
climate,back,196
climate,made,227
climate,good,270
climate,growth,172
climate,crisis,418
climate,point,146
climate,part,297
climate,clean,172
climate,energy,435
climate,industry,149
climate,future,430
climate,transition,191
climate,last,393
climate,every,252
climate,billion,290
climate,private,202
climate,investment,282
climate,cost,100
climate,net,341
climate,zero,450
climate,health,226
climate,communities,285
climate,together,367
climate,green,314
climate,carbon,387
climate,solutions,199
climate,put,168
climate,cop,718
climate,finance,648
climate,across,252
climate,million,177
climate,making,203
climate,scale,139
climate,based,127
climate,course,262
climate,sustainable,195
climate,environmental,197
climate,work,448
climate,set,181
climate,resilience,288
climate,infrastructure,244
climate,environment,422
climate,emissions,518
climate,question,145
climate,natural,121
climate,better,270
climate,governments,185
climate,reduce,163
climate,risk,368
climate,around,400
climate,lot,152
climate,adaptation,383
climate,means,179
climate,financial,216
climate,progress,209
climate,market,76
climate,start,155
climate,economy,270
climate,companies,253
climate,build,176
climate,businesses,209
climate,end,159
climate,different,122
climate,let,197
climate,water,263
climate,supply,72
climate,next,200
climate,flood,186
climate,agency,179
climate,big,95
climate,mean,142
climate,power,139
climate,public,185
climate,sector,159
climate,business,263
climate,economic,307
climate,right,360
climate,example,201
climate,technology,96
climate,forward,169
climate,opportunity,141
climate,great,167
climate,policy,156
global,international,159
global,action,237
global,including,67
global,commitments,91
global,nature,200
global,energy,217
global,crisis,117
global,let,77
global,working,99
global,across,125
global,help,108
global,support,120
global,businesses,61
global,point,67
global,right,111
global,last,155
global,business,98
global,public,56
global,around,177
global,growth,70
global,clean,125
global,good,93
global,every,116
global,course,117
global,net,198
global,long,70
global,agency,28
global,transition,126
global,industry,105
global,future,155
global,solutions,65
global,deliver,60
global,put,70
global,cop,238
global,governments,86
global,natural,62
global,cost,57
global,economic,140
global,economy,187
global,finance,140
global,better,50
global,investment,102
global,health,61
global,environment,153
global,set,82
global,environmental,89
global,lot,72
global,work,167
global,financial,74
global,development,83
global,means,65
