word,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,community,degree,weighted_degree
people,1.0,0.000412,1.0,0.323902,3,99,3305
like,1.0,0.000309,1.0,0.255477,3,99,2509
one,0.979798,0.000361,0.980198,0.170082,1,97,1776
world,0.959596,0.000584,0.961165,0.194843,3,95,1944
change,0.949495,0.0,0.951923,0.315575,1,94,2426
climate,0.939394,0.000309,0.942857,0.321824,1,93,2651
don,0.929293,0.002343,0.933962,0.155611,3,92,1519
now,0.929293,0.002057,0.933962,0.14356,0,92,1470
because,0.909091,0.001357,0.916667,0.168656,3,90,1559
much,0.909091,0.006026,0.916667,0.133771,2,90,1329
make,0.888889,0.002336,0.9,0.130223,3,88,1237
years,0.868687,0.005521,0.883929,0.139373,1,86,1319
time,0.858586,0.009259,0.876106,0.112444,1,85,1137
even,0.848485,0.009153,0.868421,0.109647,0,84,1039
think,0.838384,0.007201,0.86087,0.126442,3,83,1110
video,0.838384,0.001146,0.86087,0.163028,3,83,1537
still,0.838384,0.003958,0.86087,0.109558,0,83,1047
energy,0.828283,0.000419,0.853448,0.166696,0,82,1789
way,0.818182,0.012168,0.846154,0.095603,3,81,905
see,0.808081,0.005288,0.838983,0.104825,3,80,997
get,0.79798,0.001817,0.831933,0.101598,3,79,977
many,0.777778,0.013121,0.818182,0.114933,3,77,990
good,0.777778,0.012956,0.818182,0.083668,3,77,849
know,0.757576,0.003717,0.804878,0.114589,3,75,1042
going,0.737374,0.009922,0.792,0.08814,3,73,795
nuclear,0.727273,0.006621,0.785714,0.117011,0,72,1122
well,0.717172,0.005798,0.779528,0.082644,3,71,787
things,0.707071,0.004051,0.773438,0.090822,3,70,822
right,0.69697,0.008846,0.767442,0.09043,3,69,782
say,0.686869,0.004291,0.761538,0.076475,3,68,715
want,0.686869,0.003697,0.761538,0.083943,3,68,777
thank,0.686869,0.00818,0.761538,0.080299,2,68,791
earth,0.686869,0.006037,0.761538,0.092196,1,68,901
