topic_id,word,score
0,research,0.4817
0,sostenible,0.4794
0,investigación,0.4671
0,sustainability,0.4649
0,sostenibilidad,0.4636
0,sociales,0.4636
0,recursos,0.4628
0,sustainable,0.4535
0,estrategias,0.4443
0,policy,0.4417
1,health,0.5482
1,diseases,0.5356
1,disease,0.5269
1,outcomes,0.4505
1,findings,0.4321
1,factors,0.4321
1,trends,0.4236
1,population,0.4169
1,causes,0.4071
1,cause,0.4039
2,circular economy,0.8111
2,circular,0.5808
2,sustainability,0.4437
2,sostenibilidad,0.4379
2,economía,0.4359
2,desarrollo sostenible,0.4352
2,sostenible,0.4311
2,sustainable,0.4268
2,economy,0.4262
2,sustainable development,0.4215
3,rural,0.4116
3,comunidades,0.3827
3,economía,0.375
3,económicos,0.3672
3,políticas,0.3621
3,sostenible,0.3611
3,comunidad,0.3589
3,país,0.3573
3,community,0.3572
3,sustainability,0.3557
4,19 pandemic,0.5264
4,covid 19,0.4979
4,pandemic,0.4112
4,covid,0.411
4,disease,0.3993
4,public health,0.3782
4,19,0.3702
4,2023,0.3673
4,crisis,0.3624
4,affected,0.3584
5,chemistry,0.6211
5,computational,0.5858
5,molecular,0.5778
5,chemical,0.5482
5,theoretical,0.5417
5,synthesis,0.5122
5,electron,0.5032
5,density,0.5015
5,carbon,0.4747
5,simulations,0.4688
6,recycling,0.5467
6,waste,0.5319
6,environmental,0.4394
6,materials,0.4249
6,organic,0.4167
6,pollution,0.4108
6,material,0.3878
6,carbon,0.3758
6,chemical,0.3703
6,synthetic,0.3647
7,artificial intelligence,0.7199
7,intelligence,0.5855
7,artificial,0.526
7,educational,0.4736
7,education,0.4592
7,learning,0.4551
7,technology,0.45
7,research,0.4419
7,technologies,0.4414
7,abstract,0.4227
8,synthesis,0.5279
8,chemical,0.5089
8,electron,0.4739
8,organic,0.4069
8,co2,0.4006
8,reactions,0.3985
8,carbon,0.3799
8,fuel,0.3792
8,reaction,0.3598
8,fuels,0.3544
9,media,0.6159
9,sociales,0.5149
9,social,0.4941
9,societal,0.4774
9,news,0.4375
9,public,0.4186
9,topics,0.3725
9,comunicación,0.3667
9,information,0.3597
9,digital,0.3567
10,literature review,0.6112
10,research,0.5998
10,investigación,0.5953
10,researchers,0.5635
10,studies,0.5566
10,study,0.5536
10,systematic,0.5493
10,findings,0.5269
10,scholars,0.5239
10,review,0.5109
11,observations,0.4558
11,temperature,0.452
11,spectral,0.4414
11,magnitude,0.4235
11,frequency,0.3961
11,measurements,0.3957
11,sources,0.3781
11,spectrum,0.3763
11,source,0.3613
11,mass,0.3523
12,políticas,0.4539
12,conceptual,0.4393
12,artículo,0.4326
12,sociales,0.4306
12,existen,0.4282
12,agenda,0.425
12,prácticas,0.4213
12,investigación,0.4186
12,studies,0.4094
12,analizar,0.4065
13,databases,0.5319
13,database,0.5142
13,protein,0.4608
13,molecular,0.4477
13,datasets,0.4286
13,resource,0.4026
13,software,0.4025
13,biological,0.3999
13,data,0.3919
13,sequence,0.3889
14,technologies,0.5551
14,technology,0.5328
14,network,0.5052
14,technological,0.5017
14,networks,0.4974
14,internet,0.472
14,digital,0.4178
14,mobile,0.4036
14,communications,0.4006
14,future,0.3867
15,energy,0.3958
15,devices,0.3757
15,ion,0.3722
15,storage,0.3641
15,technologies,0.3484
15,technology,0.3228
15,recycling,0.3195
15,chemistry,0.3005
15,power,0.2991
15,environmental,0.2898
16,carbon,0.6049
16,emissions,0.5412
16,co2,0.5101
16,climate change,0.5082
16,climate,0.4721
16,pollution,0.4508
16,emission,0.4346
16,atmospheric,0.4244
16,assessment,0.4064
16,statistics,0.4032
17,land,0.5071
17,environmental,0.4684
17,ecological,0.4657
17,influences,0.4175
17,ecosystem,0.4053
17,ecosystems,0.3979
17,research,0.3905
17,agricultural,0.3878
17,degradation,0.3677
17,climate,0.3675
18,mobility,0.4776
18,integración,0.3859
18,international,0.385
18,research,0.3839
18,cambio,0.3773
18,analiza,0.3767
18,across,0.3737
18,studies,0.3733
18,investigación,0.3717
18,integration,0.3659
19,machine learning,0.6308
19,big data,0.5891
19,neural networks,0.5235
19,datasets,0.485
19,data,0.4467
19,learning,0.4442
19,research,0.4077
19,researchers,0.3919
19,algorithms,0.3833
19,science,0.3793
20,circular economy,0.6485
20,industry,0.4585
20,circular,0.4482
20,sustainability,0.4416
20,innovations,0.4401
20,sustainable,0.4293
20,industrial,0.424
20,innovation,0.4092
20,concepts,0.4053
20,concept,0.3973
